,im_id,file_path,class
0,muimage141_corrected,/home/ascott10/documents/projects/pub_viruses/segmented_images/mutant_manual_correction/muimage141_corrected.png,mut
1,muimage38_corrected,/home/ascott10/documents/projects/pub_viruses/segmented_images/mutant_manual_correction/muimage38_corrected.png,mut
2,muimage270_corrected,/home/ascott10/documents/projects/pub_viruses/segmented_images/mutant_manual_correction/muimage270_corrected.png,mut
3,muimage472_corrected,/home/ascott10/documents/projects/pub_viruses/segmented_images/mutant_manual_correction/muimage472_corrected.png,mut
4,muimage389_corrected,/home/ascott10/documents/projects/pub_viruses/segmented_images/mutant_manual_correction/muimage389_corrected.png,mut
5,muimage368_corrected,/home/ascott10/documents/projects/pub_viruses/segmented_images/mutant_manual_correction/muimage368_corrected.png,mut
6,muimage512_corrected,/home/ascott10/documents/projects/pub_viruses/segmented_images/mutant_manual_correction/muimage512_corrected.png,mut
7,muimage391_corrected,/home/ascott10/documents/projects/pub_viruses/segmented_images/mutant_manual_correction/muimage391_corrected.png,mut
8,muimage104_corrected,/home/ascott10/documents/projects/pub_viruses/segmented_images/mutant_manual_correction/muimage104_corrected.png,mut
9,muimage4_corrected,/home/ascott10/documents/projects/pub_viruses/segmented_images/mutant_manual_correction/muimage4_corrected.png,mut
10,muimage434_corrected,/home/ascott10/documents/projects/pub_viruses/segmented_images/mutant_manual_correction/muimage434_corrected.png,mut
11,muimage383_corrected,/home/ascott10/documents/projects/pub_viruses/segmented_images/mutant_manual_correction/muimage383_corrected.png,mut
12,muimage34_corrected,/home/ascott10/documents/projects/pub_viruses/segmented_images/mutant_manual_correction/muimage34_corrected.png,mut
13,muimage396_corrected,/home/ascott10/documents/projects/pub_viruses/segmented_images/mutant_manual_correction/muimage396_corrected.png,mut
14,muimage64_corrected,/home/ascott10/documents/projects/pub_viruses/segmented_images/mutant_manual_correction/muimage64_corrected.png,mut
15,muimage160_corrected,/home/ascott10/documents/projects/pub_viruses/segmented_images/mutant_manual_correction/muimage160_corrected.png,mut
16,muimage352_corrected,/home/ascott10/documents/projects/pub_viruses/segmented_images/mutant_manual_correction/muimage352_corrected.png,mut
17,muimage171_corrected,/home/ascott10/documents/projects/pub_viruses/segmented_images/mutant_manual_correction/muimage171_corrected.png,mut
18,muimage215_corrected,/home/ascott10/documents/projects/pub_viruses/segmented_images/mutant_manual_correction/muimage215_corrected.png,mut
19,muimage130_corrected,/home/ascott10/documents/projects/pub_viruses/segmented_images/mutant_manual_correction/muimage130_corrected.png,mut
20,muimage55_corrected,/home/ascott10/documents/projects/pub_viruses/segmented_images/mutant_manual_correction/muimage55_corrected.png,mut
21,muimage151_corrected,/home/ascott10/documents/projects/pub_viruses/segmented_images/mutant_manual_correction/muimage151_corrected.png,mut
22,muimage150_corrected,/home/ascott10/documents/projects/pub_viruses/segmented_images/mutant_manual_correction/muimage150_corrected.png,mut
23,muimage414_corrected,/home/ascott10/documents/projects/pub_viruses/segmented_images/mutant_manual_correction/muimage414_corrected.png,mut
24,muimage405_corrected,/home/ascott10/documents/projects/pub_viruses/segmented_images/mutant_manual_correction/muimage405_corrected.png,mut
25,muimage41_corrected,/home/ascott10/documents/projects/pub_viruses/segmented_images/mutant_manual_correction/muimage41_corrected.png,mut
26,muimage393_corrected,/home/ascott10/documents/projects/pub_viruses/segmented_images/mutant_manual_correction/muimage393_corrected.png,mut
27,muimage282_corrected,/home/ascott10/documents/projects/pub_viruses/segmented_images/mutant_manual_correction/muimage282_corrected.png,mut
28,muimage65_corrected,/home/ascott10/documents/projects/pub_viruses/segmented_images/mutant_manual_correction/muimage65_corrected.png,mut
29,muimage148_corrected,/home/ascott10/documents/projects/pub_viruses/segmented_images/mutant_manual_correction/muimage148_corrected.png,mut
30,muimage188_corrected,/home/ascott10/documents/projects/pub_viruses/segmented_images/mutant_manual_correction/muimage188_corrected.png,mut
31,muimage281_corrected,/home/ascott10/documents/projects/pub_viruses/segmented_images/mutant_manual_correction/muimage281_corrected.png,mut
32,muimage228_corrected,/home/ascott10/documents/projects/pub_viruses/segmented_images/mutant_manual_correction/muimage228_corrected.png,mut
33,muimage484_corrected,/home/ascott10/documents/projects/pub_viruses/segmented_images/mutant_manual_correction/muimage484_corrected.png,mut
34,muimage455_corrected,/home/ascott10/documents/projects/pub_viruses/segmented_images/mutant_manual_correction/muimage455_corrected.png,mut
35,muimage125_corrected,/home/ascott10/documents/projects/pub_viruses/segmented_images/mutant_manual_correction/muimage125_corrected.png,mut
36,muimage424_corrected,/home/ascott10/documents/projects/pub_viruses/segmented_images/mutant_manual_correction/muimage424_corrected.png,mut
37,muimage174_corrected,/home/ascott10/documents/projects/pub_viruses/segmented_images/mutant_manual_correction/muimage174_corrected.png,mut
38,muimage479_corrected,/home/ascott10/documents/projects/pub_viruses/segmented_images/mutant_manual_correction/muimage479_corrected.png,mut
39,muimage440_corrected,/home/ascott10/documents/projects/pub_viruses/segmented_images/mutant_manual_correction/muimage440_corrected.png,mut
40,muimage68_corrected,/home/ascott10/documents/projects/pub_viruses/segmented_images/mutant_manual_correction/muimage68_corrected.png,mut
41,muimage467_corrected,/home/ascott10/documents/projects/pub_viruses/segmented_images/mutant_manual_correction/muimage467_corrected.png,mut
42,muimage416_corrected,/home/ascott10/documents/projects/pub_viruses/segmented_images/mutant_manual_correction/muimage416_corrected.png,mut
43,muimage222_corrected,/home/ascott10/documents/projects/pub_viruses/segmented_images/mutant_manual_correction/muimage222_corrected.png,mut
44,muimage249_corrected,/home/ascott10/documents/projects/pub_viruses/segmented_images/mutant_manual_correction/muimage249_corrected.png,mut
45,muimage451_corrected,/home/ascott10/documents/projects/pub_viruses/segmented_images/mutant_manual_correction/muimage451_corrected.png,mut
46,muimage91_corrected,/home/ascott10/documents/projects/pub_viruses/segmented_images/mutant_manual_correction/muimage91_corrected.png,mut
47,muimage373_corrected,/home/ascott10/documents/projects/pub_viruses/segmented_images/mutant_manual_correction/muimage373_corrected.png,mut
48,muimage297_corrected,/home/ascott10/documents/projects/pub_viruses/segmented_images/mutant_manual_correction/muimage297_corrected.png,mut
49,muimage413_corrected,/home/ascott10/documents/projects/pub_viruses/segmented_images/mutant_manual_correction/muimage413_corrected.png,mut
50,muimage316_corrected,/home/ascott10/documents/projects/pub_viruses/segmented_images/mutant_manual_correction/muimage316_corrected.png,mut
51,muimage89_corrected,/home/ascott10/documents/projects/pub_viruses/segmented_images/mutant_manual_correction/muimage89_corrected.png,mut
52,muimage425_corrected,/home/ascott10/documents/projects/pub_viruses/segmented_images/mutant_manual_correction/muimage425_corrected.png,mut
53,muimage283_corrected,/home/ascott10/documents/projects/pub_viruses/segmented_images/mutant_manual_correction/muimage283_corrected.png,mut
54,muimage299_corrected,/home/ascott10/documents/projects/pub_viruses/segmented_images/mutant_manual_correction/muimage299_corrected.png,mut
55,muimage454_corrected,/home/ascott10/documents/projects/pub_viruses/segmented_images/mutant_manual_correction/muimage454_corrected.png,mut
56,muimage88_corrected,/home/ascott10/documents/projects/pub_viruses/segmented_images/mutant_manual_correction/muimage88_corrected.png,mut
57,muimage461_corrected,/home/ascott10/documents/projects/pub_viruses/segmented_images/mutant_manual_correction/muimage461_corrected.png,mut
58,muimage136_corrected,/home/ascott10/documents/projects/pub_viruses/segmented_images/mutant_manual_correction/muimage136_corrected.png,mut
59,muimage59_corrected,/home/ascott10/documents/projects/pub_viruses/segmented_images/mutant_manual_correction/muimage59_corrected.png,mut
60,muimage113_corrected,/home/ascott10/documents/projects/pub_viruses/segmented_images/mutant_manual_correction/muimage113_corrected.png,mut
61,muimage322_corrected,/home/ascott10/documents/projects/pub_viruses/segmented_images/mutant_manual_correction/muimage322_corrected.png,mut
62,muimage176_corrected,/home/ascott10/documents/projects/pub_viruses/segmented_images/mutant_manual_correction/muimage176_corrected.png,mut
63,muimage51_corrected,/home/ascott10/documents/projects/pub_viruses/segmented_images/mutant_manual_correction/muimage51_corrected.png,mut
64,muimage478_corrected,/home/ascott10/documents/projects/pub_viruses/segmented_images/mutant_manual_correction/muimage478_corrected.png,mut
65,muimage417_corrected,/home/ascott10/documents/projects/pub_viruses/segmented_images/mutant_manual_correction/muimage417_corrected.png,mut
66,muimage207_corrected,/home/ascott10/documents/projects/pub_viruses/segmented_images/mutant_manual_correction/muimage207_corrected.png,mut
67,muimage53_corrected,/home/ascott10/documents/projects/pub_viruses/segmented_images/mutant_manual_correction/muimage53_corrected.png,mut
68,muimage40_corrected,/home/ascott10/documents/projects/pub_viruses/segmented_images/mutant_manual_correction/muimage40_corrected.png,mut
69,muimage372_corrected,/home/ascott10/documents/projects/pub_viruses/segmented_images/mutant_manual_correction/muimage372_corrected.png,mut
70,muimage346_corrected,/home/ascott10/documents/projects/pub_viruses/segmented_images/mutant_manual_correction/muimage346_corrected.png,mut
71,muimage331_corrected,/home/ascott10/documents/projects/pub_viruses/segmented_images/mutant_manual_correction/muimage331_corrected.png,mut
72,muimage415_corrected,/home/ascott10/documents/projects/pub_viruses/segmented_images/mutant_manual_correction/muimage415_corrected.png,mut
73,muimage145_corrected,/home/ascott10/documents/projects/pub_viruses/segmented_images/mutant_manual_correction/muimage145_corrected.png,mut
74,muimage178_corrected,/home/ascott10/documents/projects/pub_viruses/segmented_images/mutant_manual_correction/muimage178_corrected.png,mut
75,muimage336_corrected,/home/ascott10/documents/projects/pub_viruses/segmented_images/mutant_manual_correction/muimage336_corrected.png,mut
76,muimage67_corrected,/home/ascott10/documents/projects/pub_viruses/segmented_images/mutant_manual_correction/muimage67_corrected.png,mut
77,muimage265_corrected,/home/ascott10/documents/projects/pub_viruses/segmented_images/mutant_manual_correction/muimage265_corrected.png,mut
78,muimage31_corrected,/home/ascott10/documents/projects/pub_viruses/segmented_images/mutant_manual_correction/muimage31_corrected.png,mut
79,muimage308_corrected,/home/ascott10/documents/projects/pub_viruses/segmented_images/mutant_manual_correction/muimage308_corrected.png,mut
80,muimage505_corrected,/home/ascott10/documents/projects/pub_viruses/segmented_images/mutant_manual_correction/muimage505_corrected.png,mut
81,muimage232_corrected,/home/ascott10/documents/projects/pub_viruses/segmented_images/mutant_manual_correction/muimage232_corrected.png,mut
82,muimage123_corrected,/home/ascott10/documents/projects/pub_viruses/segmented_images/mutant_manual_correction/muimage123_corrected.png,mut
